step total box obj cls lr
13520 4.194630 0.546921 1.412472 0.047550 0.000556742
13606 5.136031 0.678169 1.700394 0.044791 0.000556742
13688 4.356977 0.594149 1.344587 0.041643 0.000556742
13754 4.271154 0.555532 1.449494 0.044001 0.000556742
13819 5.300572 0.757355 1.475560 0.038236 0.000556742
13893 5.021651 0.697021 1.496257 0.040290 0.000505000
13960 5.016437 0.674649 1.593197 0.049993 0.000505000
14040 4.152487 0.541781 1.403212 0.040368 0.000505000
14103 3.544135 0.408254 1.443192 0.059672 0.000505000
14177 4.542642 0.595836 1.521970 0.041489 0.000505000
14250 4.065308 0.494249 1.550336 0.043726 0.000505000
14336 4.675220 0.624154 1.513490 0.040960 0.000505000
14397 4.859737 0.666904 1.491418 0.033798 0.000505000
14465 5.318110 0.766796 1.446874 0.037255 0.000505000
14521 3.612297 0.440593 1.360019 0.049311 0.000505000
14576 5.657129 0.794809 1.643264 0.039822 0.000505000
14634 4.917620 0.673767 1.501920 0.046864 0.000505000
14687 4.737323 0.635634 1.514104 0.045051 0.000505000
14758 4.928263 0.703675 1.366391 0.043496 0.000505000
14828 4.271694 0.527097 1.595311 0.040898 0.000453258
14900 4.914448 0.672810 1.504685 0.045715 0.000453258
14953 5.216347 0.721449 1.568943 0.040160 0.000453258
15037 4.927019 0.659308 1.585691 0.044789 0.000453258
15109 4.696404 0.638806 1.467726 0.034646 0.000453258
15180 4.492547 0.595274 1.461341 0.054835 0.000453258
15253 4.674913 0.610534 1.580821 0.041423 0.000453258
15305 4.863745 0.668520 1.487985 0.033161 0.000453258
15378 5.535307 0.822632 1.391203 0.030946 0.000453258
15448 4.783267 0.657033 1.458820 0.039282 0.000453258
15525 4.703669 0.633435 1.492994 0.043498 0.000453258
15584 4.964361 0.656856 1.625174 0.054908 0.000453258
15687 4.111676 0.495938 1.576857 0.055131 0.000453258
15759 5.148606 0.738023 1.421142 0.037348 0.000402084
15843 3.803140 0.479054 1.364969 0.042900 0.000402084
15915 4.651660 0.636722 1.433009 0.035043 0.000402084
15988 4.152863 0.527816 1.478316 0.035467 0.000402084
16049 4.452126 0.590415 1.455685 0.044366 0.000402084
16121 4.226785 0.552772 1.421328 0.041595 0.000402084
16176 3.956136 0.501617 1.405638 0.042415 0.000402084
16246 4.117750 0.520088 1.477611 0.039698 0.000402084
16328 4.147425 0.540831 1.404043 0.039226 0.000402084
16401 4.909265 0.660600 1.566581 0.039683 0.000402084
16463 5.294287 0.726616 1.621246 0.039959 0.000402084
16533 3.733996 0.448227 1.445590 0.047271 0.000402084
16602 4.076900 0.530319 1.389692 0.035615 0.000402084
16669 3.203387 0.391619 1.207861 0.037432 0.000352037
16749 4.454357 0.601153 1.401513 0.047077 0.000352037
16807 3.994486 0.494697 1.481359 0.039643 0.000352037
16892 3.380435 0.403356 1.312294 0.051358 0.000352037
16949 4.070954 0.524613 1.405531 0.042357 0.000352037
17013 4.255266 0.563136 1.389021 0.050567 0.000352037
17086 5.165055 0.723088 1.508160 0.041457 0.000352037
17155 4.260330 0.530479 1.562277 0.045659 0.000352037
17231 4.519361 0.587789 1.547897 0.032518 0.000352037
17303 3.778832 0.470558 1.378094 0.047951 0.000352037
17394 4.539299 0.605930 1.466613 0.043039 0.000352037
17492 3.915774 0.482517 1.460410 0.042779 0.000352037
17555 4.328606 0.577745 1.401336 0.038544 0.000352037
17620 4.412942 0.582529 1.462497 0.037803 0.000303665
17680 5.046062 0.692389 1.544213 0.039901 0.000303665
17728 4.172661 0.560773 1.318045 0.050753 0.000303665
17793 4.985134 0.692096 1.488680 0.035975 0.000303665
17866 4.511948 0.592686 1.508453 0.040063 0.000303665
17925 4.258794 0.544587 1.495834 0.040022 0.000303665
17994 4.940228 0.696325 1.421078 0.037526 0.000303665
18062 3.525837 0.439723 1.281801 0.045423 0.000303665
18134 4.514028 0.623375 1.365400 0.031753 0.000303665
18201 3.439423 0.417977 1.305941 0.043598 0.000303665
18265 3.267226 0.391762 1.275317 0.033098 0.000303665
18336 4.180756 0.538355 1.445375 0.043607 0.000303665
18405 4.661595 0.600789 1.613855 0.043794 0.000303665
18478 4.339743 0.537373 1.607925 0.044952 0.000303665
18543 4.352824 0.581605 1.410798 0.033999 0.000257500
18596 4.263066 0.568053 1.382741 0.040061 0.000257500
18667 4.276642 0.577151 1.354806 0.036079 0.000257500
18721 4.128087 0.536005 1.413602 0.034458 0.000257500
18792 4.257282 0.552724 1.447479 0.046181 0.000257500
18868 5.166519 0.718929 1.538016 0.033859 0.000257500
18933 4.741938 0.649677 1.447406 0.046148 0.000257500
18999 3.870588 0.511136 1.277101 0.037809 0.000257500
19057 4.253179 0.594463 1.247458 0.033408 0.000257500
19122 4.326228 0.544637 1.559517 0.043526 0.000257500
19203 4.575118 0.607937 1.494891 0.040540 0.000257500
19272 4.269097 0.566880 1.378802 0.055894 0.000257500
19358 4.524140 0.605336 1.459966 0.037494 0.000257500
19422 4.581566 0.622891 1.429018 0.038093 0.000257500
19491 5.033424 0.718332 1.403133 0.038631 0.000214046
19547 4.683128 0.675611 1.271566 0.033506 0.000214046
19612 4.667094 0.662927 1.318166 0.034291 0.000214046
19696 3.958148 0.508583 1.370996 0.044239 0.000214046
19760 4.345342 0.576701 1.427770 0.034065 0.000214046
19819 4.615345 0.620386 1.468973 0.044441 0.000214046
19884 4.038942 0.521547 1.386880 0.044325 0.000214046
19958 3.801576 0.491057 1.307141 0.039151 0.000214046
20038 4.313526 0.571660 1.415380 0.039846 0.000214046
20107 3.870550 0.481540 1.414573 0.048278 0.000214046
20168 4.316978 0.586451 1.348356 0.036368 0.000214046
20246 3.635128 0.448087 1.359779 0.034912 0.000214046
20315 3.505270 0.433817 1.291156 0.045031 0.000214046
20387 3.284115 0.410367 1.193139 0.039144 0.000173780
20446 4.242223 0.571351 1.351728 0.033738 0.000173780
20508 3.478364 0.420040 1.336265 0.041900 0.000173780
20582 2.769988 0.305558 1.195809 0.046390 0.000173780
20660 4.623456 0.626879 1.453223 0.035840 0.000173780
20727 4.509695 0.620294 1.376936 0.031289 0.000173780
20797 3.426942 0.417022 1.284490 0.057341 0.000173780
20861 5.103664 0.725988 1.442422 0.031304 0.000173780
20939 3.635197 0.448748 1.358779 0.032678 0.000173780
21020 3.905072 0.513086 1.302881 0.036763 0.000173780
21081 3.415445 0.394126 1.398537 0.046277 0.000173780
21154 4.134550 0.556998 1.316419 0.033139 0.000173780
21212 3.717757 0.500560 1.186768 0.028192 0.000173780
21271 3.338899 0.434467 1.133499 0.033067 0.000173780
21330 4.867270 0.681458 1.421697 0.038282 0.000137143
21398 4.529700 0.650087 1.253209 0.026054 0.000137143
21468 4.008149 0.524976 1.351265 0.032003 0.000137143
21545 4.198095 0.550049 1.407886 0.039963 0.000137143
21609 3.394987 0.436952 1.167938 0.042287 0.000137143
21677 3.433619 0.430147 1.248449 0.034433 0.000137143
21744 4.116002 0.552197 1.323341 0.031678 0.000137143
21810 4.309914 0.577309 1.373832 0.049536 0.000137143
21874 3.525820 0.456880 1.205374 0.036048 0.000137143
21933 3.835172 0.500746 1.301762 0.029681 0.000137143
21998 4.812425 0.672134 1.414701 0.037052 0.000137143
22070 3.705321 0.460810 1.361800 0.039472 0.000137143
22150 4.661308 0.644974 1.399611 0.036825 0.000137143
22204 3.236137 0.387404 1.254127 0.044989 0.000104537
22278 3.688652 0.493438 1.185988 0.035474 0.000104537
22320 4.687526 0.644642 1.424717 0.039600 0.000104537
22383 3.847364 0.493487 1.340465 0.039464 0.000104537
22449 3.758187 0.497555 1.236426 0.033985 0.000104537
22508 3.735497 0.487936 1.258555 0.037261 0.000104537
22570 3.206056 0.395184 1.190931 0.039206 0.000104537
22643 3.450839 0.429400 1.256539 0.047299 0.000104537
22693 3.298675 0.388067 1.311959 0.046380 0.000104537
22769 4.196505 0.560113 1.358790 0.037151 0.000104537
22844 4.462209 0.622754 1.313910 0.034530 0.000104537
22922 3.884178 0.509716 1.299834 0.035766 0.000104537
22988 3.600383 0.456465 1.261880 0.056176 0.000104537
23087 3.896501 0.489692 1.413566 0.034476 0.000104537
23154 3.702562 0.474281 1.291008 0.040150 0.000076317
23226 4.595279 0.626781 1.419844 0.041528 0.000076317
23288 3.730409 0.500435 1.197644 0.030592 0.000076317
23345 3.573846 0.440752 1.339206 0.030879 0.000076317
23398 3.644198 0.458416 1.306144 0.045975 0.000076317
23456 3.707440 0.463010 1.359192 0.033199 0.000076317
23551 3.635989 0.446248 1.367595 0.037152 0.000076317
23615 2.475784 0.288291 0.988984 0.045346 0.000076317
23690 4.517940 0.592272 1.514368 0.042213 0.000076317
23760 3.748500 0.475294 1.328921 0.043107 0.000076317
23817 4.230755 0.562696 1.381587 0.035690 0.000076317
23924 4.097755 0.539733 1.364476 0.034617 0.000076317
24004 3.753069 0.469596 1.363872 0.041217 0.000076317
24076 3.256813 0.403927 1.191928 0.045248 0.000052795
24165 4.233627 0.579496 1.300207 0.035941 0.000052795
24259 3.747521 0.500706 1.213872 0.030121 0.000052795
24334 2.969246 0.353627 1.159360 0.041752 0.000052795
24409 3.869591 0.503157 1.314205 0.039604 0.000052795
24494 3.649888 0.475993 1.219319 0.050606 0.000052795
24583 3.989071 0.501243 1.437824 0.045033 0.000052795
24631 4.028910 0.526220 1.360574 0.037238 0.000052795
24711 4.118346 0.552907 1.317064 0.036749 0.000052795
24795 3.490400 0.446707 1.218791 0.038072 0.000052795
24873 3.036946 0.366927 1.170052 0.032257 0.000052795
24938 3.444016 0.437658 1.214725 0.041000 0.000052795
25005 4.673356 0.661002 1.338678 0.029669 0.000034227
