step total box obj cls lr
14521 3.538193 0.432210 1.328285 0.048858 0.000505000
14576 5.410355 0.752603 1.606760 0.040580 0.000505000
14634 4.849371 0.657953 1.512065 0.047540 0.000505000
14687 4.710676 0.631745 1.506357 0.045593 0.000505000
14758 4.870057 0.694314 1.354309 0.044180 0.000505000
14828 3.962468 0.476517 1.539461 0.040423 0.000453258
14900 4.851181 0.666612 1.473801 0.044319 0.000453258
14953 5.161714 0.716372 1.540255 0.039599 0.000453258
15037 4.776913 0.643359 1.517248 0.042871 0.000453258
15109 4.624819 0.619030 1.494546 0.035122 0.000453258
15180 4.314344 0.567065 1.423533 0.055485 0.000453258
15253 4.674123 0.609433 1.586375 0.040583 0.000453258
15305 4.796568 0.656215 1.481402 0.034092 0.000453258
15378 5.627196 0.846436 1.364609 0.030405 0.000453258
15448 4.772410 0.662306 1.422635 0.038246 0.000453258
15525 4.715170 0.631312 1.513984 0.044628 0.000453258
15584 4.769699 0.620667 1.611266 0.055099 0.000453258
15687 4.189674 0.496842 1.647436 0.058030 0.000453258
15759 4.883640 0.699564 1.349169 0.036652 0.000402084
15843 3.625348 0.450952 1.325897 0.044693 0.000402084
15915 4.583140 0.619811 1.449235 0.034851 0.000402084
15988 4.168221 0.534442 1.460296 0.035715 0.000402084
16049 4.494679 0.598054 1.458974 0.045435 0.000402084
16121 4.179944 0.537580 1.452046 0.039995 0.000402084
16176 3.919553 0.489237 1.427302 0.046067 0.000402084
16246 3.852265 0.477512 1.425617 0.039089 0.000402084
16328 4.042467 0.527788 1.363323 0.040203 0.000402084
16401 4.717142 0.646129 1.446049 0.040446 0.000402084
16463 5.235514 0.716925 1.611229 0.039659 0.000402084
16533 3.807882 0.458035 1.466612 0.051096 0.000402084
16602 4.147861 0.535931 1.433914 0.034291 0.000402084
16669 3.107423 0.374636 1.199674 0.034569 0.000352037
16749 4.441288 0.616037 1.311494 0.049611 0.000352037
16807 3.663057 0.445270 1.397189 0.039517 0.000352037
16892 3.437748 0.408037 1.346132 0.051433 0.000352037
16949 4.061028 0.521819 1.407103 0.044830 0.000352037
17013 4.101224 0.541049 1.346588 0.049391 0.000352037
17086 5.367679 0.767945 1.487421 0.040534 0.000352037
17155 4.189474 0.520199 1.540596 0.047883 0.000352037
17231 4.330184 0.554922 1.523097 0.032477 0.000352037
17303 3.580496 0.434946 1.358399 0.047369 0.000352037
17394 4.275231 0.584379 1.311378 0.041958 0.000352037
17492 3.871899 0.470649 1.474751 0.043903 0.000352037
17555 4.294500 0.566848 1.421782 0.038479 0.000352037
17620 4.282612 0.562152 1.434186 0.037664 0.000303665
17680 4.945117 0.670469 1.550408 0.042364 0.000303665
17728 3.998614 0.525940 1.316882 0.052032 0.000303665
17793 4.843438 0.652198 1.546440 0.036010 0.000303665
17866 4.412383 0.566043 1.541059 0.041110 0.000303665
17925 4.263600 0.542688 1.510103 0.040057 0.000303665
17994 4.935718 0.697287 1.410151 0.039131 0.000303665
18062 3.539251 0.435593 1.315417 0.045869 0.000303665
18134 4.277714 0.586328 1.313079 0.032997 0.000303665
18201 3.189528 0.379207 1.253481 0.040013 0.000303665
18265 3.219161 0.384877 1.260261 0.034514 0.000303665
18336 4.247880 0.553410 1.439281 0.041549 0.000303665
18405 4.816854 0.625286 1.644670 0.045754 0.000303665
18478 4.273157 0.528176 1.585194 0.047084 0.000303665
18543 4.294005 0.560064 1.459409 0.034274 0.000257500
18596 4.257322 0.569746 1.365921 0.042671 0.000257500
18667 4.126354 0.549440 1.340592 0.038562 0.000257500
18721 4.075244 0.528137 1.400222 0.034338 0.000257500
18792 4.221528 0.540190 1.476626 0.043951 0.000257500
18868 5.024640 0.692353 1.528088 0.034785 0.000257500
18933 4.602899 0.621068 1.451638 0.045921 0.000257500
18999 3.826515 0.501242 1.280571 0.039732 0.000257500
19057 4.203329 0.583040 1.255027 0.033104 0.000257500
19122 4.026458 0.492516 1.518288 0.045588 0.000257500
19203 4.654905 0.620902 1.508471 0.041922 0.000257500
19272 4.215526 0.564548 1.339697 0.053090 0.000257500
19358 4.535417 0.613567 1.430487 0.037097 0.000257500
19422 4.350843 0.577153 1.425287 0.039789 0.000257500
19491 4.809868 0.675568 1.394069 0.037961 0.000214046
19547 4.541695 0.642437 1.294413 0.035096 0.000214046
19612 4.560825 0.641182 1.323396 0.031518 0.000214046
19696 3.969150 0.510246 1.373739 0.044179 0.000214046
19760 4.053522 0.524935 1.392321 0.036526 0.000214046
19819 4.548988 0.596364 1.520806 0.046361 0.000214046
19884 4.024894 0.517704 1.394431 0.041944 0.000214046
19958 3.754752 0.479931 1.315648 0.039448 0.000214046
20038 4.227669 0.553742 1.417589 0.041368 0.000214046
20107 3.821612 0.475326 1.397691 0.047290 0.000214046
20168 4.120675 0.550356 1.329916 0.038978 0.000214046
20246 3.609062 0.438710 1.379236 0.036277 0.000214046
20315 3.459564 0.437412 1.229541 0.042966 0.000214046
20387 3.189537 0.395340 1.174802 0.038036 0.000173780
20446 4.091638 0.540656 1.353505 0.034851 0.000173780
20508 3.454353 0.415200 1.338222 0.040133 0.000173780
20582 2.694291 0.290518 1.191915 0.049788 0.000173780
20660 4.590776 0.620688 1.452439 0.034897 0.000173780
20727 4.428143 0.615271 1.319330 0.032455 0.000173780
20797 3.230280 0.380136 1.269313 0.060287 0.000173780
20861 5.050726 0.720666 1.416258 0.031138 0.000173780
20939 3.479376 0.429020 1.299461 0.034815 0.000173780
21020 3.646602 0.465011 1.285162 0.036383 0.000173780
